"","Time","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"1","""Aug 21""",1,"Paytm Payments Bank",642.43,639.410579,2.698206,0.192729,0.192729
"2","""Aug 21""",2,"State Bank Of India",535.44,515.62872,2.516568,16.545096,0.749616
"3","""Aug 21""",3,"Yes Bank Ltd",450.54,450.08946,0.270324,0.090108,0.135162
"4","""Aug 21""",4,"Icici Bank",323.98,321.06418,2.689034,0.032398,0.16199
"5","""Aug 21""",5,"Axis Bank Ltd",292.54,289.205044,1.111652,0.760604,1.4627
"6","""Aug 21""",6,"Hdfc Bank Ltd",199.42,195.23218,3.769038,0.159536,0.239304
"7","""Aug 21""",7,"Bank Of Baroda",124.5,123.69075,0.61005,0.08715,0.11205
"8","""Aug 21""",8,"Union Bank Of India",96.44,94.906604,0.704012,0.298964,0.53042
"9","""Aug 21""",9,"Canara Bank",95,93.2995,1.0165,0.5225,0.171
"10","""Aug 21""",10,"Punjab National Bank",93.26,86.77843,0.615516,4.05681,1.809244
"11","""Aug 21""",11,"Bank Of India",77.82,77.034018,0.404664,0.23346,0.147858
"12","""Aug 21""",12,"Kotak Mahindra Bank",76.74,75.266592,1.204818,0.11511,0.161154
"13","""Aug 21""",13,"Federal Bank",70.29,70.191594,0.084348,0.007029,0.007029
"14","""Aug 21""",14,"Indian Bank",44.94,43.68168,0.229194,0.2247,0.804426
"15","""Aug 21""",15,"Central Bank Of India",44.43,43.812423,0.377655,0.04443,0.195492
"16","""Aug 21""",16,"Airtel Payments Bank",43.1,42.24231,0.60771,0.15947,0.0862
"17","""Aug 21""",17,"Indusind Bank",38.56,37.977744,0.30848,0.007712,0.266064
"18","""Aug 21""",18,"Idbi Bank Limited",32.24,31.878912,0.270816,0.067704,0.022568
"19","""Aug 21""",19,"Indian Overseas Bank",26.27,26.065094,0.147112,0.036778,0.021016
"20","""Aug 21""",20,"Bank Of Maharashtra",24.2,24.0306,0.09922,0.04598,0.0242
"21","""Aug 21""",21,"Uco Bank",22.96,20.907376,0.537264,1.191624,0.323736
"22","""Aug 21""",22,"Karnataka Bank",20.02,18.93892,0.244244,0.568568,0.268268
"23","""Aug 21""",23,"Karur Vysya Bank",15.74,15.5826,0.12592,0.018888,0.011018
"24","""Aug 21""",24,"Idfc First Bank",12.36,12.195612,0.134724,0.014832,0.014832
"25","""Aug 21""",25,"India Post Payment Bank",11.85,11.720835,0.069915,0.039105,0.01896
"26","""Aug 21""",26,"South Indian Bank",10.62,10.427778,0.186912,0.006372,0
"27","""Aug 21""",27,"Bandhan Bank",10.26,9.635166,0.094392,0.498636,0.031806
"28","""Aug 21""",28,"City Union Bank",7.68,7.519488,0.144384,0.014592,0.002304
"29","""Aug 21""",29,"Au Small Finance Bank",6.3,6.23637,0.04347,0.01008,0.01008
"30","""Aug 21""",30,"Citibank",6.28,6.27058,0,0,0.00942
"31","""Aug 21""",31,"Tamilnad Mercantile Bank",5.88,5.116776,0.064092,0.62916,0.068796
"32","""Aug 21""",32,"Dbs Bank India Limited",5.84,5.559096,0.2628,0.006424,0.011096
"33","""Aug 21""",33,"Ujjivan Small Finance Bank",5.62,5.542444,0.040464,0.020232,0.017422
"34","""Aug 21""",34,"Fino Payments Bank",5.32,5.01942,0.227164,0.072884,0.001064
"35","""Aug 21""",35,"Andhra Pradesh Grameena Vikas Bank",5.13,4.977126,0.013338,0.101574,0.038475
