"","nat_banks_ben","pri_banks_ben","nat_banks_rem","pri_banks_rem"
"1","Andhra Pradesh Grameena Vikas Bank","Airtel Payments Bank","Andhra Pradesh Grameena Vikas Bank","Airtel Payments Bank"
"2","Bank Of Baroda","Andhra Pragathi Grameena Bank","Bank Of Baroda","Andhra Pragathi Grameena Bank"
"3","Bank Of India","Au Small Finance Bank","Bank Of India","Au Small Finance Bank"
"4","Bank Of Maharashtra","Axis Bank Ltd","Bank Of Maharashtra","Axis Bank Ltd"
"5","Baroda Rajasthan Kshetriya Gramin Bank","Bandhan Bank","Baroda Rajasthan Kshetriya Gramin Bank","Bandhan Bank"
"6","Baroda Up Gramin Bank","Citibank","Baroda Up Gramin Bank","Citibank"
"7","Canara Bank","City Union Bank","Canara Bank","City Union Bank"
"8","Central Bank Of India","City Union Bank","Central Bank Of India","City Union Bank"
"9","Indian Bank","Dbs Bank India Limited","Indian Bank","Dbs Bank India Limited"
"10","Indian Overseas Bank","Equitas Small Finance Bank","Indian Overseas Bank","Equitas Small Finance Bank"
"11","Jammu And Kashmir Bank","Esaf Small Finance Bank Ltd.","Jammu And Kashmir Bank","Esaf Small Finance Bank Ltd."
"12","Karnataka Vikas Grameena Bank","Federal Bank","Karnataka Vikas Grameena Bank","Federal Bank"
"13","Kerala Gramin Bank","Fino Payments Bank","Kerala Gramin Bank","Fino Payments Bank"
"14","Punjab And Sind Bank","Hdfc Bank Credit Card Hcb","Punjab And Sind Bank","Hdfc Bank Credit Card Hcb"
"15","Punjab National Bank","Icici Bank","Punjab National Bank","Icici Bank"
"16","Purvanchal Bank","Idbi Bank Limited","Purvanchal Bank","Idbi Bank Limited"
"17","Rajasthan Marudhara Gramin Bank","Idfc First Bank","Rajasthan Marudhara Gramin Bank","Idfc First Bank"
"18","Saraswat Bank","India Post Payment Bank","Saraswat Bank","India Post Payment Bank"
"19","Sarva Haryana Gramin Bank","Indusind Bank","Sarva Haryana Gramin Bank","Indusind Bank"
"20","State Bank Of India","Karnataka Bank","State Bank Of India","Karnataka Bank"
"21","Tamilnad Mercantile Bank","Karur Vysya Bank","Tamilnad Mercantile Bank","Karur Vysya Bank"
"22","Telangana Grameena Bank","Kotak Mahindra Bank","Telangana Grameena Bank","Kotak Mahindra Bank"
"23","Uco Bank","Maharashtra Gramin Bank","Uco Bank","Maharashtra Gramin Bank"
"24","Union Bank Of India","Paytm Payments Bank","Union Bank Of India","Paytm Payments Bank"
"25","","Pragathi Krishna Gramin Bank","","Pragathi Krishna Gramin Bank"
"26","","Rbl Bank","","Rbl Bank"
"27","","South Indian Bank","","South Indian Bank"
"28","","Standard Chartered","","Standard Chartered"
"29","","Tri O Tech Solutions Private Limited","","Tri O Tech Solutions Private Limited"
"30","","Ujjivan Small Finance Bank","","Ujjivan Small Finance Bank"
"31","","Yes Bank Ltd","","Yes Bank Ltd"
"32","","Yes Bank Ltd","","Yes Bank Ltd"
"33","","Fincare Small Finance Bank Ltd","","Fincare Small Finance Bank Ltd"
"34","","Hdfc Bank Ltd","","Hdfc Bank Ltd"
"35","","Lakshmi Vilas Bank","",""
"36","","Hsbc Bank","",""
"37","","Yes Bank - Amazon Pay","",""
"38","","Cosmos Bank","",""
"39","","Jio Payments Bank","",""
"40","","One Mobikwik Systems Limited","",""
