"","Time","Sl_No.","UPI_Remitter_Bank","Total_Volume","Approved.","BD.","TD.","Total.Debit.Reversal.Count","Debit.Reversal.Success"
"1","""Aug 21""",1,"State Bank Of India",1018.15,922.4439,68.521495,27.08279,11.09,9.691551
"2","""Aug 21""",2,"Hdfc Bank Ltd",314.36,298.642,14.806356,0.880208,2.21,2.140164
"3","""Aug 21""",3,"Axis Bank Ltd",235.25,225.6518,8.51605,1.08215,1.29,0.909063
"4","""Aug 21""",4,"Bank Of Baroda",219.01,202.759458,15.790621,0.459921,1.39,1.368733
"5","""Aug 21""",5,"Icici Bank",217.79,206.443141,11.172627,0.174232,1.06,0.923896
"6","""Aug 21""",6,"Paytm Payments Bank",212.37,201.900159,10.066338,0.403503,1.26,1.117998
"7","""Aug 21""",7,"Punjab National Bank",173.85,149.841315,14.42955,9.579135,6.05,4.50604
"8","""Aug 21""",8,"Union Bank Of India",170.46,152.885574,14.079996,3.49443,2.89,1.260329
"9","""Aug 21""",9,"Canara Bank",153.75,140.5275,12.223125,1.01475,1.16,1.08634
"10","""Aug 21""",10,"Bank Of India",129.28,122.066176,6.231296,0.982528,1.25,0.943625
"11","""Aug 21""",11,"Kotak Mahindra Bank",129.15,121.16853,7.20657,0.761985,1.01,0.924251
"12","""Aug 21""",12,"Indian Bank",86.39,70.252348,12.35377,3.723409,2.31,1.217832
"13","""Aug 21""",13,"Central Bank Of India",75.71,69.819762,5.337555,0.560254,0.93,0.670251
"14","""Aug 21""",14,"Idbi Bank Limited",53.18,49.904112,3.063168,0.21272,0.39,0.337272
"15","""Aug 21""",15,"Airtel Payments Bank",46,39.813,5.704,0.4692,0.41,0.335052
"16","""Aug 21""",16,"Bank Of Maharashtra",44.88,41.590296,3.150576,0.139128,0.25,0.216175
"17","""Aug 21""",17,"Indian Overseas Bank",43.07,39.826829,3.122575,0.116289,0.3,0.28677
"18","""Aug 21""",18,"Yes Bank Ltd",40.43,38.687467,1.491867,0.254709,0.17,0.136238
"19","""Aug 21""",19,"Federal Bank",40.38,38.336772,1.982658,0.06057,0.22,0.211288
"20","""Aug 21""",20,"Uco Bank",37.41,32.13519,2.547621,2.727189,0.97,0.247253
"21","""Aug 21""",21,"Karnataka Bank",34.56,30.10176,2.699136,1.76256,0.85,0.240125
"22","""Aug 21""",22,"Indusind Bank",28.76,26.577116,2.09948,0.083404,0.23,0.227746
"23","""Aug 21""",23,"Karur Vysya Bank",21.88,19.983004,1.824792,0.072204,0.15,0.137955
"24","""Aug 21""",24,"India Post Payment Bank",20.39,17.533361,2.69148,0.148847,0.2,0.13794
"25","""Aug 21""",25,"Idfc First Bank",19.85,18.25803,1.43714,0.15483,0.22,0.179278
"26","""Aug 21""",26,"Bandhan Bank",14.67,12.839184,1.051839,0.778977,0.11,0.012573
"27","""Aug 21""",27,"South Indian Bank",14.2,13.31676,0.8733,0.01136,0.07,0.069923
"28","""Aug 21""",28,"Citibank",13.2,12.39216,0.5874,0.22044,0.05,0.04974
"29","""Aug 21""",29,"Dbs Bank India Limited",12.21,11.576301,0.592185,0.041514,0.08,0.075808
"30","""Aug 21""",30,"Fino Payments Bank",12.2,9.82344,2.1716,0.20496,0.1,0.09873
"31","""Aug 21""",31,"City Union Bank",11.49,10.675359,0.78132,0.033321,0.07,0.069629
"32","""Aug 21""",32,"Standard Chartered",10.27,9.911577,0.316316,0.042107,0.07,0.06356
"33","""Aug 21""",33,"Andhra Pradesh Grameena Vikas Bank",9.23,7.180017,1.73524,0.305513,0.13,0.030303
"34","""Aug 21""",34,"Tamilnad Mercantile Bank",8.5,6.8255,0.70465,0.969,0.2,0.1371
"35","""Aug 21""",35,"Ujjivan Small Finance Bank",8.5,7.75795,0.67065,0.0714,0.1,0.0624
"36","""Aug 21""",36,"Saraswat Bank",7.9,7.48841,0.36577,0.04582,0.08,0.073128
"37","""Aug 21""",37,"Punjab And Sind Bank",7.81,6.419039,0.84348,0.545138,0.44,0.061776
"38","""Aug 21""",38,"Pragathi Krishna Gramin Bank",7.66,6.314138,1.27922,0.062812,0.08,0.059984
"39","""Aug 21""",39,"Equitas Small Finance Bank",7.41,6.248853,1.12632,0.031863,0.07,0.056049
"40","""Aug 21""",40,"Maharashtra Gramin Bank",7.13,5.778865,1.2121,0.138322,0.09,0.02664
"41","""Aug 21""",41,"Au Small Finance Bank",6.96,6.478368,0.449616,0.032016,0.07,0.064484
"42","""Aug 21""",42,"Andhra Pragathi Grameena Bank",6.56,4.189216,2.22384,0.14104,0.15,0.065295
"43","""Aug 21""",43,"Jammu And Kashmir Bank",6,5.2002,0.5778,0.222,0.06,0.040686
"44","""Aug 21""",44,"Kerala Gramin Bank",4.99,4.278925,0.66866,0.038922,0.03,0.028224
"45","""Aug 21""",45,"Rajasthan Marudhara Gramin Bank",4.96,4.10688,0.76384,0.087792,0.07,0.028784
"46","""Aug 21""",46,"Rbl Bank",4.57,4.150474,0.385708,0.033818,0.03,0.027186
"47","""Aug 21""",47,"Sarva Haryana Gramin Bank",4.24,3.71848,0.3286,0.19292,0.03,0.027186
"48","""Aug 21""",48,"Baroda Rajasthan Kshetriya Gramin Bank",4.15,3.512145,0.39342,0.244435,0.07,0.052409
"49","""Aug 21""",49,"Esaf Small Finance Bank Ltd.",4.1,3.72813,0.29602,0.07585,0.02,0.000606
"50","""Aug 21""",50,"Purvanchal Bank",4.08,3.098352,0.8364,0.1428,0.1,0.02799
"51","""Sept 21""",1,"State Bank Of India",1036.45,927.83004,72.5515,36.06846,14.87,14.281148
"52","""Sept 21""",2,"Hdfc Bank Ltd",327.32,310.201164,16.889712,0.229124,1.7,1.67331
"53","""Sept 21""",3,"Bank Of Baroda",231.73,213.840444,17.449269,0.440287,1.38,1.358748
"54","""Sept 21""",4,"Icici Bank",225.22,212.359938,11.621352,1.23871,2.06,0.892186
"55","""Sept 21""",5,"Axis Bank Ltd",214.22,203.916018,8.868708,1.435274,1.5,0.9018
"56","""Sept 21""",6,"Paytm Payments Bank",212.36,201.380988,10.72418,0.254832,1.06,1.013148
"57","""Sept 21""",7,"Union Bank Of India",195.42,173.063952,20.71452,1.524276,1.87,1.259445
"58","""Sept 21""",8,"Punjab National Bank",179.64,166.70592,11.6766,1.25748,1.8,1.50228
"59","""Sept 21""",9,"Canara Bank",163.54,149.442852,13.49205,0.605098,1.24,1.162128
