"","Time","Sl_No.","UPI_Remitter_Bank","Total_Volume","Approved.","BD.","TD.","Total.Debit.Reversal.Count","Debit.Reversal.Success"
"1","""Aug 21""",1,"State Bank Of India",1018.15,9387.343,697.43275,274.9005,11.09,9.691551
"2","""Aug 21""",2,"Hdfc Bank Ltd",314.36,936.7928,46.52528,2.766368,2.21,2.140164
"3","""Aug 21""",3,"Axis Bank Ltd",235.25,529.3125,20.019775,2.5407,1.29,0.909063
"4","""Aug 21""",4,"Bank Of Baroda",219.01,442.4002,34.38457,0.985545,1.39,1.368733
"5","""Aug 21""",5,"Icici Bank",217.79,448.6474,24.17469,0.370243,1.06,0.923896
"6","""Aug 21""",6,"Paytm Payments Bank",212.37,426.8637,21.237,0.84948,1.26,1.117998
"7","""Aug 21""",7,"Punjab National Bank",173.85,259.0365,25.0344,16.637445,6.05,4.50604
"8","""Aug 21""",8,"Union Bank Of India",170.46,259.0992,23.8644,5.949054,2.89,1.260329
"9","""Aug 21""",9,"Canara Bank",153.75,215.25,18.7575,1.552875,1.16,1.08634
"11","""Aug 21""",11,"Kotak Mahindra Bank",129.15,156.2715,9.2988,0.98154,1.01,0.924251
"51","""Sept 21""",1,"State Bank Of India",1036.45,9607.8915,751.42625,373.122,14.87,14.281148
"52","""Sept 21""",2,"Hdfc Bank Ltd",327.32,1014.692,54.98976,0.720104,1.7,1.67331
"53","""Sept 21""",3,"Bank Of Baroda",231.73,493.5849,40.32102,1.019612,1.38,1.358748
"54","""Sept 21""",4,"Icici Bank",225.22,477.4664,26.12552,2.770206,2.06,0.892186
"55","""Sept 21""",5,"Axis Bank Ltd",214.22,434.8666,18.979892,3.063346,1.5,0.9018
"56","""Sept 21""",6,"Paytm Payments Bank",212.36,426.8436,22.72252,0.5309,1.06,1.013148
"57","""Sept 21""",7,"Union Bank Of India",195.42,338.0766,40.45194,2.970384,1.87,1.259445
"58","""Sept 21""",8,"Punjab National Bank",179.64,298.2024,20.83824,2.2455,1.8,1.50228
"59","""Sept 21""",9,"Canara Bank",163.54,243.6746,21.91436,0.98124,1.24,1.162128
"60","""Sept 21""",10,"Kotak Mahindra Bank",137.75,174.9425,10.88225,2.9203,2.09,1.752674
"101","""Oct 21""",1,"State Bank Of India",1193.24,13101.7752,998.74188,136.02936,7.15,7.109245
"102","""Oct 21""",2,"Hdfc Bank Ltd",381.13,1368.2567,76.226,4.344882,1.61,1.457855
"103","""Oct 21""",3,"Bank Of Baroda",265.61,645.4323,50.20029,8.951057,1.85,1.188995
"104","""Oct 21""",4,"Icici Bank",262.75,654.2475,34.1575,1.024725,0.88,0.752576
"105","""Oct 21""",5,"Union Bank Of India",256.7,580.142,67.7688,9.67759,1.16,0.462608
"106","""Oct 21""",6,"Axis Bank Ltd",249.31,590.8647,24.906069,5.210579,0.81,0.465912
"107","""Oct 21""",7,"Paytm Payments Bank",248.26,585.8936,29.04642,0.422042,1.01,0.992527
"108","""Oct 21""",8,"Punjab National Bank",205.66,374.3012,29.8207,18.632796,2.54,2.084832
"109","""Oct 21""",9,"Canara Bank",183.45,310.0305,24.2154,1.21077,0.98,0.938448
"110","""Oct 21""",10,"Kotak Mahindra Bank",161.27,241.905,15.304523,2.773844,0.83,0.742186
"151","""Nov 21""",1,"State Bank Of India",1176.24,12738.6792,969.22176,118.80024,6.35,6.207125
"152","""Nov 21""",2,"Hdfc Bank Ltd",368.77,1287.0073,71.17261,0.921925,1.56,1.55142
"153","""Nov 21""",3,"Bank Of Baroda",261.95,628.68,48.1988,8.69674,3.14,2.044454
"154","""Nov 21""",4,"Icici Bank",253.34,605.4826,30.65414,3.318754,1.69,1.386476
"155","""Nov 21""",5,"Union Bank Of India",253.21,582.383,52.66768,4.659064,2.08,1.221168
"156","""Nov 21""",6,"Paytm Payments Bank",246.9,577.746,30.1218,0.59256,0.96,0.921792
"157","""Nov 21""",7,"Axis Bank Ltd",245.3,574.002,23.64692,1.74163,0.96,0.780576
"158","""Nov 21""",8,"Punjab National Bank",199.26,364.6458,27.8964,4.08483,1.62,1.400004
"159","""Nov 21""",9,"Canara Bank",183.94,312.698,22.9925,0.974882,0.94,0.880216
"160","""Nov 21""",10,"Kotak Mahindra Bank",162.08,244.7408,15.041024,2.204288,1.34,1.077226
"201","""Dec 21""",1,"State Bank Of India",1296.56,14897.4744,1165.60744,744.22544,18.29,15.010603
"202","""Dec 21""",2,"Hdfc Bank Ltd",410.13,1591.3044,86.94756,3.158001,2.7,2.61549
"203","""Dec 21""",3,"Bank Of Baroda",289.1,771.897,60.1328,1.56114,2.02,2.013334
"204","""Dec 21""",4,"Union Bank Of India",281.76,721.3056,67.34064,3.155712,2.85,2.38089
"205","""Dec 21""",5,"Icici Bank",280.71,749.4957,36.77301,0.84213,1.48,1.34384
"206","""Dec 21""",6,"Paytm Payments Bank",267.13,675.8389,33.39125,3.980237,1.73,1.420157
"207","""Dec 21""",7,"Axis Bank Ltd",254.57,618.6051,26.72985,0.127285,1.35,1.329075
"208","""Dec 21""",8,"Punjab National Bank",218.34,421.3962,37.77282,16.724844,3.4,2.74788
